state,session_year,fy,scheduled_adjourn,actual_adjourn,overrun_days,precision,signed_date,days_late,scheduled_edition,actual_edition,source
Alabama,2015,2016,2015-06-15,2015-06-04,-11,exact,2015-09-17,-14,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2016,2017,2016-04-05,2016-05-03,28,approx,2016-04-21,-163,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2018,2019,2018-04-24,2018-03-29,-26,exact,2018-04-02,-182,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2019,2020,2019-06-18,2019-05-31,-18,exact,2019-06-15,-108,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2020,2021,2020-05-19,2020-05-18,-1,exact,2020-05-18,-136,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2021,2022,2021-05-18,2021-05-17,-1,exact,2021-05-01,-153,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2022,2023,2022-05-20,2022-04-07,-43,exact,2022-04-14,-170,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2023,2024,2023-06-08,2023-06-06,-2,exact,2023-06-01,-122,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2024,2025,2024-05-20,2024-05-09,-11,exact,2024-05-15,-139,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2025,2026,2025-05-15,2025-05-14,-1,exact,2025-05-05,-149,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alabama,2026,2027,2026-03-27,2026-04-09,13,exact,2026-04-09,-175,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2015,2016,2015-04-19,2015-04-28,9,exact,2015-06-29,-2,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2016,2017,2016-04-17,2016-05-18,31,exact,2016-06-28,-3,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2018,2019,2018-04-16,2018-05-13,27,exact,2018-06-13,-18,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2019,2020,2019-04-14,2019-05-15,31,exact,2019-06-28,-3,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2020,2021,2020-05-20,2020-05-20,0,exact,2020-04-06,-86,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2021,2022,2021-04-19,2021-05-19,30,exact,2021-07-01,0,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2022,2023,2022-05-17,2022-05-18,1,exact,2022-06-28,-3,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Alaska,2023,2024,2023-04-17,2023-05-17,30,exact,2023-06-19,-12,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
