session_year,scheduled_editions_used,actual_editions_used,states_kept,editions_available,edition_date_range
2015,2014-11-07,2015-03-13;2015-06-15;2015-12-21,43,5,2014-11-07..2015-12-21
2016,2015-11-02,2016-07-26;2018-01-17,37,3,2015-11-02..2018-01-17
2017,2017-04-24,2017-12-06,25,2,2017-04-24..2017-12-06
2018,2018-01-10,2018-09-19,36,3,2018-01-10..2018-09-19
2019,2019-01-03,2019-10-03,41,2,2019-01-03..2019-10-03
2020,2020-03-17,2020-12-31,26,6,2020-03-17..2020-12-31
2021,2020-12-01,2021-12-30,41,6,2020-12-01..2021-12-30
2022,2021-10-26;2022-05-12,2022-12-12,38,6,2021-10-26..2022-12-12
2023,2022-11-07,2023-11-13,37,4,2022-11-07..2023-11-13
2024,2024-01-22,2024-12-11,38,5,2024-01-22..2024-12-11
2025,2024-11-08,2025-12-22,40,3,2024-11-08..2025-12-22
2026,2026-01-05,2026-07-06,36,4,2026-01-05..2026-07-06
