state,fiscal_year,total_expenditures_millions,population,per_capita,source,notes
Alabama,2015,32459,4858979,6680,Tax Policy Center / Census of Governments,
Alabama,2017,30916,4874747,6342,Tax Policy Center / Census of Governments,
Alabama,2019,33366,4903185,6805,Tax Policy Center / Census of Governments,
Alabama,2021,39584,5039877,7854,Tax Policy Center / Census of Governments,
Alabama,2023,41341,5108468,8093,"Census Bureau (timeseries/govsstatefin, SF0132)",
Alabama,2024,38110,5157699,7389,KFF/NASBO (auto-scraped),
Alaska,2015,13006,738432,17613,Tax Policy Center / Census of Governments,
Alaska,2017,11317,739795,15297,Tax Policy Center / Census of Governments,
Alaska,2019,10206,731545,13951,Tax Policy Center / Census of Governments,
Alaska,2021,13058,732673,17822,Tax Policy Center / Census of Governments,
Alaska,2023,11748,733406,16018,"Census Bureau (timeseries/govsstatefin, SF0132)",
Alaska,2024,14336,740133,19369,KFF/NASBO (auto-scraped),
Arizona,2015,32741,6828065,4795,Tax Policy Center / Census of Governments,
Arizona,2017,39555,7016270,5638,Tax Policy Center / Census of Governments,
Arizona,2019,42259,7278717,5806,Tax Policy Center / Census of Governments,
Arizona,2021,52768,7276316,7252,Tax Policy Center / Census of Governments,
Arizona,2023,60645,7431344,8161,"Census Bureau (timeseries/govsstatefin, SF0132)",
Arizona,2024,96440,7582384,12719,KFF/NASBO (auto-scraped),
Arkansas,2015,21781,2978204,7313,Tax Policy Center / Census of Governments,
Arkansas,2017,22727,3004279,7565,Tax Policy Center / Census of Governments,
Arkansas,2019,23372,3017804,7745,Tax Policy Center / Census of Governments,
Arkansas,2021,27505,3025891,9090,Tax Policy Center / Census of Governments,
Arkansas,2023,27271,3067732,8890,"Census Bureau (timeseries/govsstatefin, SF0132)",
Arkansas,2024,33515,3088354,10852,KFF/NASBO (auto-scraped),
California,2015,320288,39144818,8182,Tax Policy Center / Census of Governments,
California,2017,349342,39536653,8836,Tax Policy Center / Census of Governments,
California,2019,403194,39512223,10204,Tax Policy Center / Census of Governments,
California,2021,468989,39237836,11952,Tax Policy Center / Census of Governments,
California,2023,522893,38965193,13419,"Census Bureau (timeseries/govsstatefin, SF0132)",
California,2024,452729,39431263,11481,KFF/NASBO (auto-scraped),
Colorado,2015,32229,5456574,5906,Tax Policy Center / Census of Governments,
Colorado,2017,35302,5607154,6296,Tax Policy Center / Census of Governments,
Colorado,2019,37984,5758736,6596,Tax Policy Center / Census of Governments,
Colorado,2021,46259,5812069,7959,Tax Policy Center / Census of Governments,
Colorado,2023,43000,5877610,7316,"Census Bureau (timeseries/govsstatefin, SF0132)",
Colorado,2024,42553,5957494,7143,KFF/NASBO (auto-scraped),
Connecticut,2015,31599,3590886,8800,Tax Policy Center / Census of Governments,
Connecticut,2017,27945,3588184,7788,Tax Policy Center / Census of Governments,
Connecticut,2019,29338,3565287,8229,Tax Policy Center / Census of Governments,
Connecticut,2021,33383,3605597,9259,Tax Policy Center / Census of Governments,
Connecticut,2023,32391,3617176,8955,"Census Bureau (timeseries/govsstatefin, SF0132)",
Connecticut,2024,42771,3675069,11638,KFF/NASBO (auto-scraped),
Delaware,2015,8855,945934,9361,Tax Policy Center / Census of Governments,
Delaware,2017,9954,961939,10348,Tax Policy Center / Census of Governments,
Delaware,2019,10484,973764,10766,Tax Policy Center / Census of Governments,
Delaware,2021,12755,1003384,12712,Tax Policy Center / Census of Governments,
Delaware,2023,13157,1031890,12750,"Census Bureau (timeseries/govsstatefin, SF0132)",
Delaware,2024,16092,1051917,15298,KFF/NASBO (auto-scraped),
Florida,2015,84803,20271272,4183,Tax Policy Center / Census of Governments,
Florida,2017,90535,20984400,4314,Tax Policy Center / Census of Governments,
Florida,2019,103173,21477737,4804,Tax Policy Center / Census of Governments,
Florida,2021,119948,21781128,5507,Tax Policy Center / Census of Governments,
